era,file_no,status,title
2022,220752,skipped_short_text,"Resolution declaring the results of the June 7, 2022, Consolidated Statewide Dir"
2022,220713,kept,Resolution urging airline service contractors operating at San Francisco Interna
2022,220712,kept,Resolution urging Governor Gavin Newsom and the Department of Alcoholic Beverage
2022,220711,kept,Resolution urging St. Mary's Medical Center and Dignity Health to return to the 
2022,220648,kept,Resolution supporting funding for the Early College 2022 summer internship progr
2022,220645,skipped_short_text,Resolution authorizing the Department of Public Works to accept and expend grant
2022,220628,kept,"Resolution supporting California State Assembly Bill No. 288 (AB 288), introduce"
2022,220616,kept,"Resolution supporting California State Assembly Bill No. 2417, Juveniles: Youth "
2022,220615,kept,"Resolution urging the Department of Public Health, in consultation with the Depa"
2022,220614,kept,Resolution urging the Controller to submit an application to the Refuse Rate Boa
2022,220613,skipped_commendation,Resolution commending the dedicated workforce of San Francisco Public Works and 
2022,220612,skipped_commendation,"Resolution supporting California State Assembly Bill No. 1947, authored by Assem"
2022,220611,kept,Resolution urging the California Assembly to pass California State Senate Bill N
2022,220610,kept,"Resolution proclaiming May 29 through June 4, 2022, as the Queer and Transgender"
2022,220604,skipped_short_text,Resolution authorizing the Office of Contract Administration to enter into Peopl
2022,220603,skipped_short_text,Resolution authorizing the Office of Contract Administration to enter into Peopl
2022,220602,skipped_short_text,Resolution authorizing the Office of Contract Administration to enter into Peopl
2022,220601,skipped_short_text,Resolution authorizing the Office of Contract Administration to enter into Peopl
2022,220553,kept,Resolution approving the list of projects to be funded by Fiscal Year 2022-2023 
2022,220550,kept,Resolution initiating an amendment to the landmark designation of 429-431 Castro
2022,220525,kept,Resolution modifying the Management District Plan for the Dogpatch and Northwest
2022,220517,kept,Resolution approving the first amendment to the grant agreement between Brillian
2022,220516,kept,Resolution approving the first amendment to the grant agreement between Bayview 
2022,220515,kept,Resolution approving the second amendment to the grant agreement between Five Ke
2022,220513,kept,Resolution 1) approving and authorizing the Director of Property and the Mayor’s
2022,220512,kept,Resolution authorizing the issuance and delivery of tax-exempt multifamily housi
2022,220496,kept,Resolution authorizing the Port Commission to accept and expend a grant in the a
2022,220495,kept,Resolution authorizing the San Francisco Public Library to accept and expend a g
2022,220493,kept,Resolution concurring with the Controller's certification that department servic
2022,220461,kept,Resolution initiating a landmark designation under Article 10 of the Planning Co
2022,220460,kept,Resolution approving the Fiscal Year (FY) 2022-2023 Emergency Solutions Grants (
2022,220459,kept,Resolution approving the Fiscal Year (FY) 2022-2023 HOME Investment Partnership 
2022,220458,kept,Resolution approving the Fiscal Year (FY) 2022-2023 Community Development Block 
2022,220456,kept,Resolution approving the Fiscal Year (FY) 2022-2023 Housing Opportunities for Pe
2022,220455,kept,Resolution retroactively authorizing the Department of Public Health to accept a
2022,220454,kept,Resolution retroactively authorizing the Department of Public Health to accept a
2022,220453,kept,Resolution approving the first amendment to the grant agreement between the Tend
2022,220452,kept,Resolution approving the second amendment to the contract between the TIDES Cent
2022,220451,kept,"Resolution authorizing the Director of Property, on behalf of the Department of "
2022,220448,kept,Resolution declaring the intention of the Board to order the vacation of 1) a po
2022,220442,kept,Resolution confirming report of delinquent charges for overdue Administrative Ci
2022,220443,kept,Resolution approving Amendment No. 1 to the agreement between Community Forward 
